Espèce,Variété,Année de plantation,Porte greffe,Type de sol,Remarques diverses,Latitude,Longitude,Adresse de la plantation
Poirier,Beurrée de l'Assomption,2018,Kirchensaller,,,45.449627,-0.049318,
Poirier,Blanquette de Saintonge,2018,Kirchensaller,,,45.449612,-0.049265,
Poirier,Duchesse d'Eté,2018,Kirchensaller,,,45.449597,-0.049215,
Poirier,de la livre ou Cailla Rosa (Caïa rosa),2015,BA29,,,45.449589,-0.049337,
Poirier,?,2016,,,,45.449598,-0.049524,
Poirier,"Beurrée Bosc, 436 Jaune d'Enghien, 437 Président Héron",,Kirchensaller,,,45.44949,-0.049261,
Poirier,Beurrée D'Arenberg (ou d'Hardempont),2014,Kirchensaller,,,45.449501,-0.049314,
Poirier,Beurrée d'Amanlis,2014,Kirchensaller,,,45.449517,-0.049371,
Poirier,Beurrée Clairgeau,2014,Kirchensaller,,,45.44953,-0.049428,
Poirier,Beurrée Superfin,2014,Kirchensaller,,,45.449549,-0.049487,
Poirier,Beurrée Espéren,2014,Kirchensaller,,,45.449576,-0.049597,
Poirier,André Desportes,2014,Kirchensaller,,,45.449589,-0.049648,
Poirier,Beurrée Giffard,2014,Kirchensaller,,,45.44956,-0.04954,
Poirier,Ambrette d'été,2014,Kirchensaller,,,45.449601,-0.049706,
Poirier,Soeur Grégoire,2014,Kirchensaller,,,45.449617,-0.049763,
Poirier,Abbé Fétel (Abathe),2014,Kirchensaller,,,45.449632,-0.049818,
Poirier,D'hiver de M. Demaille,2014,Kirchensaller,,,45.449465,-0.049328,
Poirier,de Monsieur Richard,2014,Kirchensaller,,,45.449452,-0.049277,
Poirier,Curé,2014,Kirchensaller,,,45.449475,-0.049381,
Poirier,Comtesse de Paris,2014,Kirchensaller,,,45.449491,-0.049438,
Poirier,Clapp's favourite,2014,Kirchensaller,,,45.449508,-0.049497,
Poirier,Citron (des carmes),2014,Kirchensaller,,,45.44952,-0.049552,
Poirier,Duc de Bordeaux,2014,Kirchensaller,,,45.449534,-0.049605,
Poirier,Beurrée Six,2014,Kirchensaller,,,45.449545,-0.049658,
Poirier,Beurrée La Quintinie de Chabanais,2014,Kirchensaller,,,45.449562,-0.049714,
Poirier,Beurrée La Quintinnie de Chabanais,2014,Kirchensaller,,,45.449578,-0.049776,
Poirier,Beurrée de Naghin,2014,Kirchensaller,,,45.449588,-0.049822,
Poirier,Général Leclerc,2014,Kirchensaller,,,45.449416,-0.04929,
Poirier,GD3,2014,Kirchensaller,,,45.449425,-0.049337,
Poirier,G.D.2©,2014,Kirchensaller,,,45.449435,-0.049387,
Poirier,Doyenné du comice,2014,Kirchensaller,,,45.449455,-0.049455,
Poirier,Fontenel?,2014,Kirchensaller,,,45.449463,-0.04951,
Poirier,Epine du Mas ou duc de Bordeaux,2014,Kirchensaller,,,45.449481,-0.049564,
Poirier,Duchesse de Bordeaux,2014,Kirchensaller,,,45.449496,-0.049627,
Poirier,Duchesse d'Angoulème,2014,Kirchensaller,,,45.449509,-0.049678,
Poirier,Comtesse de Paris©,2014,Kirchensaller,,,45.449524,-0.049738,
Poirier,Doyenné du comice,2014,Kirchensaller,,,45.449541,-0.049793,
Poirier,Docteur Guyot,2014,Kirchensaller,,,45.449552,-0.049846,
Poirier,Rocha,2014,Kirchensaller,,,45.449373,-0.049306,
Poirier,Président Drouard©,2014,Kirchensaller,,,45.449384,-0.049358,
Poirier,Précoce d'Août,2014,Kirchensaller,,,45.4494,-0.049406,
Poirier,Conférence,2014,Kirchensaller,,,45.449415,-0.049469,
Poirier,Poirillon de Juillet,2014,Kirchensaller,,,45.449427,-0.049528,
Poirier,Beurrée Hardy,2014,Kirchensaller,,,45.44944,-0.049582,
Poirier,Olivier de Serres,2014,Kirchensaller,,,45.449456,-0.049641,
Poirier,Mouille-Bouche,2014,Kirchensaller,,,45.449464,-0.049703,
Poirier,Madame Ballet,2014,Kirchensaller,,,45.449486,-0.049749,
Poirier,Louise Bonne (ou Bonne Louise) d'Avranche,2014,Kirchensaller,,,45.449502,-0.049806,
Poirier,Jeanne d'Arc,2014,Kirchensaller,,,45.449518,-0.049858,
Poirier,Cuisse-madame (épargne) ??,2014,Kirchensaller,,,45.449336,-0.049324,
Poirier,GD1,2014,Kirchensaller,,,45.449346,-0.049379,
Poirier,Sucré vert ??,2014,Kirchensaller,,,45.449362,-0.049426,
Poirier,William rouge,2014,Kirchensaller,,,45.449377,-0.049481,
Poirier,Passe-crassane ??,2014,Kirchensaller,,,45.449391,-0.049541,
Poirier,Marguerite Marillat ??,2014,Kirchensaller,,,45.449405,-0.049594,
Poirier,M. Richard,2014,Kirchensaller,,,45.449416,-0.049653,
Poirier,Sucrée de Montluçon ??,2014,Kirchensaller,,,45.449428,-0.049714,
Poirier,Soeur Grégoire ??,2014,Kirchensaller,,,45.449448,-0.049772,
Poirier,Saint Amour ??,2014,Kirchensaller,,,45.449467,-0.04982,
Poirier,Rondelette de Ruelle ??,2014,Kirchensaller,,,45.449476,-0.049878,
Poirier,Beurrée Six ??,2014,Kirchensaller,,,45.449301,-0.049337,
Poirier,Beurrée Hardy,2015,Kirchensaller,,,45.44931,-0.049387,
Poirier,Van Marum type 1 ??,2016,Kirchensaller,,,45.449333,-0.049497,
Poirier,Roussette,2023,Kirchensaller,,,45.449212,-0.049792,
Poirier,d'Hiver M. Demaille,2015,BA29,,,45.449847,-0.049838,
Poirier,GD3,2015,BA29,,,45.449891,-0.049826,
Poirier,GD2,2015,,,,45.449903,-0.049825,
Cerisier,Bigarreau Burlat,2014,,,,45.450678,-0.049377,
Cerisier,Cerise fraise,2015,Sainte Lucie,,,45.450352,-0.048954,
Cerisier,Bigarreau Moreau souvenir des charmes,2014,,,,45.450379,-0.049516,
Cerisier,Bigarreau tardif du Poitou (de Vignola),2014,,,,45.450227,-0.049575,
Cerisier,Belle de brunetière,2014,,,,45.45071,-0.049058,
Cerisier,Claude Lambert (Précoce de chine),2015,P. Cerasus,,,45.450225,-0.048942,
Cerisier,Bigarreau Coeur de Boeuf,2014,,,,45.450629,-0.049402,
Cerisier,Bigarreau Marmotte,2014,,,,45.450432,-0.049492,
Cerisier,Bigarreau Napoléon,2014,,,,45.450692,-0.048988,
Cerisier,Chapata (Xapata),2015,Sainte Lucie,,,45.450285,-0.048931,
Cerisier,Bigarreau Reverchon,2014,,,,45.450675,-0.048922,
Cerisier,Guin doux (franc Richard),,Franc Richard,,,45.450541,-0.048858,
Cerisier,Anglaise hâtive,2014,,,,45.450778,-0.049334,
Cerisier,Bigarreau blancTrompe geai,2014,,,,45.45073,-0.049349,
Cerisier,Carrade ( C. carrée ),2015,Sainte Lucie,,,45.450444,-0.048905,
Cerisier,Bigarreau court-Picou,2014,,,,45.450536,-0.049446,
Cerisier,Cerisier Pentecôte,2022,,,,45.450644,-0.048783,
Cerisier,Early River,2014,,,,45.450656,-0.048847,
Cerisier,Monsieur De Piron,2015,Sainte Lucie,,,45.450501,-0.04888,
Cerisier,Guindoux des Charentes Big Van,2014,,,,45.450127,-0.049609,
Cerisier,Naples,,Franc?,,,45.450188,-0.048966,
Cerisier,Cerisier Reine Hortense,2014,,,,45.450729,-0.049122,
Cerisier,Griotte de Moissac,2014,Franc,,,45.450052,-0.04956,
Cerisier,Mauriane,2020,Merisier,,,45.450081,-0.049008,
Cerisier,Cerise blanche trompe geai ?,2014,,,,45.450751,-0.0492,
Cerisier,Carrée blanche,2020,Merisier,,,45.450408,-0.048925,
Cerisier,Bigarreau cœur de pigeon blanc,2014,,,,45.450584,-0.049423,
Cerisier,"Pierre Pigeaud de Pillac ""ex Précoce""/ Noire ferme",2014,,,,45.450074,-0.049638,
Cerisier,Bigarreau Van type Napoléon,2014,,,,45.450175,-0.049594,
Cerisier,Précoce de la marche,2017,Mersier,,,45.450026,-0.04903,
Cerisier,Précoce Noire à longue queue,2016,,,,45.450764,-0.049263,
Cerisier,Jarnac,2022,Merisier,,,45.449767,-0.049689,
Cerisier,Xapata,2021,Merisier,,,45.450128,-0.04899,
Cerisier,Précoce Noire à Longue queue,2017,Merisier,,,45.449979,-0.049052,
Cerisier,Bigarreau Duroni,2014,,,,45.450479,-0.049477,
Cerisier,Bigarreau Stark Hardy Géant,2014,,,,45.450331,-0.049531,
Cerisier,Bigarreau Summit,2014,,,,45.450278,-0.049555,
Cerisier,Beltxa,2023,Maxma 14,,,45.449657,-0.049246,
Pommier,Belle Limousine,2017,Bittenfelder,,,45.450273,-0.049327,
Pommier,"Malus sieversii "" Eliane """,2018,,,,45.45021,-0.0495,
Pommier,Mercier,,Bittenfelder,,,45.45036,-0.049442,
Pommier,La Lézardière ou Clos Foucaud,2017,Bittenfelder,,,45.450184,-0.049199,
Pommier,Beausoleil,2018,Bittenfelder,,,45.450195,-0.049432,
Pommier,Jaune striée de La Chapelle,2017,Bittenfelder,,,45.450224,-0.049342,
Pommier,Reine des reinettes (Rivière de Montemboeuf ?),2018,Bittenfelder,,,45.450146,-0.049062,
Pommier,Rose de Saint-Yrieix ( à confirmer ),2017,Bittenfelder,,,45.450241,-0.049416,
Pommier,La Cantelaude,2017,Bittenfelder,,,45.450206,-0.049266,
Pommier,Pascaudine,2021,,,,45.450101,-0.049313,
Pommier,Rouge de Hollande,2018,Bittenfelder,,,45.450165,-0.049125,
Pommier,Reinette du Canada blanche©,2014,Bittenfelder,,,45.450368,-0.049021,
Pommier,Azéroli anisé,2014,Bittenfelder,,,45.450385,-0.049286,
Pommier,Belle de Macqueville©,2022,Bittenfelder,,,45.450141,-0.04922,
Pommier,du Pible de Montboyer,2015,Bittenfelder,,,45.450328,-0.049305,
Pommier,Rambour d'hiver extra,2014,Bittenfelder,,,45.45047,-0.04918,
Pommier,Dieu ?,2014,Bittenfelder,,,45.450616,-0.049333,
Pommier,Cul de Mulet,2015,Bittenfelder,,,45.45024,-0.049017,
Pommier,Beausoleil ,2014,Bittenfelder,,,45.450348,-0.04916,
Pommier,Madeleine d'Août,2015,Bittenfelder,,,45.450287,-0.049164,
Pomme,Court-pendue rouge ( Didier Mongars),2014,MM106,,,45.449863,-0.049534,
Pommier,de Mr Rapet,2015,Bittenfelder,,,45.450269,-0.049085,
Pommier,Cinq côtes de Charente,2014,Bittenfelder,,,45.4503,-0.049018,
Pommier,Dieu (S. Claireau)©,2014,Bittenfelder,,,45.450598,-0.049271,
Pommier,Belle des 6 chemins(Genté),2015,Bittenfelder,,,45.450306,-0.049237,
Pommier,Double bon pommier,2014,Bittenfelder,,,45.450584,-0.049203,
Pommier,Gros locard,2014,Bittenfelder,,,45.45033,-0.049101,
Pommier,Feuilloux,2014,Bittenfelder,,,45.450569,-0.04914,
Pommier,Forlasse blanche,2014,Bittenfelder,,,45.450554,-0.049077,
Pommier,Grand Alexandre,2014,Bittenfelder,,,45.450535,-0.049,
Pommier,Grosse jaune Lauvige©,2014,Bittenfelder,,,45.450514,-0.04894,
Pommier,Rousse,2014,MM106,,,45.449824,-0.049369,
